model, 2, 3, 4, 5, 6
benchmark_1,2,81,387,-,-,
benchmark_2,1,109,1314,27386,-,
benchmark_3,0,0,6,29,86,
benchmark_4,0,3,39,739,-,
benchmark_5,5,338,9746,-,-,
benchmark_6,0,22,154,3794,-,
benchmark_7,0,0,0,3,51,
benchmark_8,2,131,1378,-,-,
benchmark_9,0,0,18,591,-,
benchmark_10,9,219,4424,-,-,
benchmark_11,6,135,530,-,-,
benchmark_12,7,94,2944,-,-,
benchmark_13,0,33,1344,-,-,
benchmark_14,1,32,218,-,-,
benchmark_15,0,65,405,1322,-,
benchmark_16,0,14,155,7466,-,
benchmark_17,2,104,2123,-,-,
benchmark_18,2,239,3452,-,-,
benchmark_19,5,439,18758,-,-,
benchmark_20,9,647,9105,-,-,
benchmark_21,1,21,120,-,-,
benchmark_22,0,38,358,7223,-,
benchmark_23,0,0,1,7,39,
benchmark_24,3,169,1533,-,-,
benchmark_25,6,366,2981,-,-,
benchmark_26,1,25,289,-,-,
benchmark_27,0,13,22,-,-,
benchmark_28,6,631,19065,-,-,
benchmark_29,0,17,1325,-,-,
benchmark_30,0,12,100,3926,-,
benchmark_31,0,4,100,458,5,
benchmark_32,0,44,26,-,-,
benchmark_33,0,18,3728,-,-,
benchmark_34,0,24,4224,-,-,
benchmark_35,0,0,23,320,7019,
