model, 2, 3, 4, 5, 6
benchmark_1,48,303,1719,8794,-,
benchmark_2,32,185,892,3977,-,
benchmark_3,19,76,211,605,1591,
benchmark_4,22,103,381,1322,-,
benchmark_5,54,380,2471,-,-,
benchmark_6,25,124,501,1725,-,
benchmark_7,12,35,96,248,613,
benchmark_8,47,325,1979,-,-,
benchmark_9,22,83,272,845,-,
benchmark_10,47,336,2125,-,-,
benchmark_11,47,322,1959,10416,-,
benchmark_12,43,269,1476,-,-,
benchmark_13,40,214,1036,-,-,
benchmark_14,39,253,1222,5444,-,
benchmark_15,32,180,789,3041,-,
benchmark_16,25,121,460,1633,-,
benchmark_17,41,278,1586,-,-,
benchmark_18,52,334,2095,-,-,
benchmark_19,51,377,2528,-,-,
benchmark_20,60,472,3295,-,-,
benchmark_21,39,238,1140,4651,-,
benchmark_22,37,171,696,2529,-,
benchmark_23,14,50,141,379,971,
benchmark_24,48,349,2170,-,-,
benchmark_25,52,407,2682,-,-,
benchmark_26,34,209,1154,5356,-,
benchmark_27,37,213,1037,4525,-,
benchmark_28,57,427,2891,-,-,
benchmark_29,29,153,696,-,-,
benchmark_30,22,100,388,1367,-,
benchmark_31,26,112,428,1434,4247,
benchmark_32,45,293,1676,8547,-,
benchmark_33,23,106,444,-,-,
benchmark_34,33,180,867,-,-,
benchmark_35,19,73,236,739,2193,
