model, 2, 3, 4, 5, 6
benchmark_1,55,204,211,212,-,
benchmark_2,51,104,248,360,523,
benchmark_3,86,213,221,230,240,
benchmark_4,7,8,8,8,-,
benchmark_5,93,584,671,1394,1776,
benchmark_6,143,171,571,1581,1978,
benchmark_7,153,656,1004,-,-,
benchmark_8,252,1039,1644,-,-,
benchmark_9,5240,6866,-,-,-,
benchmark_10,1033,1125,-,-,-,
benchmark_11,85,1815,2409,2588,-,
benchmark_12,124,788,3511,3880,-,
benchmark_13,1822,4622,6855,-,-,
benchmark_14,25,25,25,-,-,
benchmark_15,436,468,484,486,-,
benchmark_16,355,1100,1712,2106,-,
benchmark_17,758,898,-,-,-,
benchmark_18,966,1879,-,-,-,
benchmark_19,47,390,487,488,540,
benchmark_20,290,1085,1674,2285,2565,
