model,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3
Banking1,15,19,18,57,56,59,153,160,161,212,212,212,212,212,212,
Banking2,11,13,12,35,39,39,99,101,99,229,239,241,529,-,-,
CommProtocol,19,20,20,51,51,54,95,106,109,166,176,166,243,240,240,
Concurrency,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,
Healthcare1,30,33,32,109,109,107,338,339,344,868,880,873,1780,1837,1869,
Healthcare2,16,19,19,66,67,68,228,227,232,706,721,740,2052,-,-,
Healthcare3,38,39,38,214,217,213,1026,1042,1027,4327,4327,4324,16241,-,-,
Healthcare4,49,51,51,304,305,304,1675,1689,1682,8294,-,-,-,-,-,
Insurance,527,536,539,6950,6961,6950,75676,-,-,-,-,-,-,-,-,
NetworkMgmt,112,121,120,1117,1123,1114,6429,6501,6511,30411,30950,30927,119219,-,-,
ProcessorComm1,29,32,31,154,171,169,649,643,644,2595,2604,2606,9329,-,-,
ProcessorComm2,36,36,35,195,188,187,904,907,897,3900,3927,3925,15305,-,-,
Services,106,115,111,932,930,921,6866,6945,6946,38077,38558,38547,164999,-,-,
Storage1,17,20,17,25,25,25,25,25,25,25,25,25,25,-,-,
Storage2,18,21,22,77,75,80,217,224,222,485,485,485,485,485,485,
Storage3,50,54,53,244,241,240,758,768,769,2154,2201,2191,5321,-,-,
Storage4,121,127,126,923,901,916,6136,6212,6229,36423,36673,36708,185212,-,-,
Storage5,218,222,220,1887,1875,1881,13334,13365,13329,78874,79316,79107,400356,-,-,
SystemMgmt,17,18,19,59,60,60,162,161,160,353,358,371,654,-,-,
Telecom,30,32,32,128,128,126,415,414,410,1135,1164,1170,2672,-,-,
