model,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3
Banking1,203ms,250ms,128ms,250ms,328ms,359ms,127ms,265ms,235ms,375ms,141ms,492ms,266ms,225ms,163ms,
Banking2,141ms,68ms,81ms,125ms,140ms,83ms,134ms,203ms,156ms,328ms,351ms,243ms,531ms,-,-,
CommProtocol,219ms,355ms,172ms,281ms,281ms,297ms,250ms,234ms,172ms,672ms,532ms,390ms,453ms,580ms,1125ms,
Concurrency,125ms,78ms,94ms,125ms,78ms,112ms,62ms,266ms,219ms,110ms,71ms,94ms,94ms,247ms,500ms,
Healthcare1,234ms,265ms,146ms,219ms,235ms,344ms,284ms,183ms,219ms,656ms,500ms,421ms,719ms,564ms,624ms,
Healthcare2,94ms,110ms,93ms,141ms,140ms,188ms,172ms,188ms,297ms,391ms,265ms,469ms,872ms,-,-,
Healthcare3,93ms,94ms,125ms,188ms,203ms,218ms,1609ms,1672ms,1688ms,39234ms,37688ms,38250ms,1113220ms,-,-,
Healthcare4,125ms,94ms,94ms,250ms,250ms,250ms,5016ms,4922ms,4766ms,319781ms,-,-,-,-,-,
Insurance,154ms,165ms,166ms,886ms,490ms,631ms,12241ms,-,-,-,-,-,-,-,-,
NetworkMgmt,78ms,78ms,63ms,156ms,172ms,156ms,485ms,469ms,484ms,4719ms,4454ms,4453ms,43531ms,-,-,
ProcessorComm1,78ms,62ms,93ms,109ms,109ms,125ms,218ms,219ms,219ms,1313ms,1407ms,1453ms,6343ms,-,-,
ProcessorComm2,125ms,187ms,141ms,250ms,250ms,250ms,1829ms,1765ms,1688ms,28062ms,29031ms,28594ms,564407ms,-,-,
Services,188ms,203ms,203ms,406ms,391ms,422ms,1922ms,1719ms,1766ms,11219ms,11500ms,11657ms,118907ms,-,-,
Storage1,78ms,78ms,93ms,78ms,94ms,78ms,78ms,78ms,94ms,78ms,78ms,78ms,78ms,-,-,
Storage2,81ms,105ms,112ms,75ms,76ms,133ms,106ms,169ms,101ms,247ms,110ms,129ms,136ms,134ms,118ms,
Storage3,109ms,125ms,110ms,235ms,171ms,172ms,328ms,344ms,344ms,1500ms,1391ms,1344ms,6203ms,-,-,
Storage4,78ms,78ms,109ms,219ms,203ms,203ms,1532ms,1547ms,1468ms,26953ms,27062ms,27719ms,694767ms,-,-,
Storage5,188ms,203ms,219ms,766ms,719ms,766ms,13687ms,13531ms,13328ms,409735ms,409907ms,405220ms,10365861ms,-,-,
SystemMgmt,63ms,62ms,125ms,63ms,63ms,78ms,94ms,94ms,94ms,140ms,125ms,140ms,204ms,-,-,
Telecom,109ms,78ms,63ms,78ms,78ms,78ms,125ms,110ms,110ms,203ms,203ms,203ms,453ms,-,-,
