model, 2, 3, 4, 5, 6
benchmark_1,189ºÁ,38ºÁ,44ºÁ,55ºÁ,-,
benchmark_2,8ºÁ,24ºÁ,67ºÁ,139ºÁ,280ºÁ,
benchmark_3,25ºÁ,20ºÁ,26ºÁ,37ºÁ,74ºÁ,
benchmark_4,2ºÁ,3ºÁ,2ºÁ,2ºÁ,-,
benchmark_5,3ºÁ,6ºÁ,13ºÁ,35ºÁ,88ºÁ,
benchmark_6,4ºÁ,6ºÁ,16ºÁ,54ºÁ,218ºÁ,
benchmark_7,7ºÁ,62ºÁ,-,-,-,
benchmark_8,8ºÁ,106ºÁ,-,-,-,
benchmark_9,13ºÁ,140ºÁ,-,-,-,
benchmark_10,4ºÁ,23ºÁ,198ºÁ,-,-,
benchmark_11,2ºÁ,9ºÁ,76ºÁ,-,-,
benchmark_12,22ºÁ,148ºÁ,-,-,-,
benchmark_13,120ºÁ,336ºÁ,-,-,-,
benchmark_14,3ºÁ,3ºÁ,4ºÁ,-,-,
benchmark_15,1ºÁ,1ºÁ,1ºÁ,2ºÁ,-,
benchmark_16,13ºÁ,26ºÁ,136ºÁ,-,-,
benchmark_17,4ºÁ,34ºÁ,882ºÁ,-,-,
benchmark_18,40ºÁ,473ºÁ,-,-,-,
benchmark_19,2ºÁ,2ºÁ,6ºÁ,18ºÁ,45ºÁ,
benchmark_20,1ºÁ,3ºÁ,9ºÁ,38ºÁ,113ºÁ,
